B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon
1815,1026,419,552,512,1010,2143,2888,-0.1739439070224762,-0.1506074219942093,1.7690058479532165,1.2219570405727924,-0.5335868000984192,0.0010918408009773135,0.27771911298838436,0.6988235116004944,1.8891592025756836,0.0010999393859260447,-0.6790697674418604,2025-12-19 05:43:39,5.253693,19.43046865238244,73.82317623645417
1628,697,209,486,189,951,3633,4720,-0.46131041646003723,-0.45856189727783203,2.3357245337159256,0.9043062200956937,-0.5402081608772278,0.000379675505578171,0.40043010752688174,0.9229985475540161,1.4270610809326172,9.863309682452599e-05,-0.8132923549750288,2025-12-24 05:42:12,0.00066,25.015742454065506,76.24466843656863
1974,1269,469,578,517,1068,1982,2802,-0.1353696584701538,-0.17879718542099,1.5555555555555556,1.1023454157782515,-0.5470219254493713,0.0011876809035373309,0.21739130434782608,0.6884603500366211,1.8891592025756836,0.007897619006320097,-0.6579881656804734,2025-12-23 05:22:56,0.191263,21.06873402429887,80.17135113541914
1930,1190,326,768,522,1395,3475,4304,-0.30754023790359497,-0.25868725776672363,1.6218487394957983,1.6012269938650308,-0.43068939447402954,0.0011651521791036974,0.23717948717948717,0.7836717963218689,1.8891592025756836,0.002118929286122414,-0.6971608832807571,2025-12-24 05:41:39,0.365698,26.600830330764186,77.83922167063817
1472,784,466,679,476,884,2507,2876,-0.26351606845855713,-0.2569761276245117,1.8775510204081634,1.0214592274678111,-0.3686657249927521,0.00011808985989918913,0.3049645390070922,0.715990424156189,2.043191909790039,0.0015183404367487244,-0.6180028129395218,2025-12-16 05:31:46,0.0,25.489973248568848,78.75168115926353
1975,1276,583,750,784,1174,1857,2398,-0.038675956428050995,-0.0397070050239563,1.547805642633229,1.3447684391080617,-0.44954127073287964,0.0006518812729423069,0.21501076591817903,0.5072281360626221,2.043191909790039,0.0019033348082496066,-0.5235069885641678,2025-12-23 05:23:33,5e-06,19.755591636055172,78.86883806255442
671,727,8832,9192,8912,7426,8492,8376,-0.2846105098724365,-0.27865737676620483,0.922971114167813,1.0090579710144927,0.8639359474182129,0.0009827481920415455,-0.04005722460658083,-0.0310041643679142,1.8891592025756836,0.0005089664861363497,0.04644808743169399,2025-12-24 05:40:01,0.118485,32.70925370933795,76.91938327516392
1997,1586,922,1150,1192,1454,1663,1815,0.07627404481172562,0.06757871806621552,1.259142496847415,1.2928416485900216,-0.2691452205181122,0.00034197251572140906,0.11470834496232207,0.20718324184417725,1.3107836246490479,0.00014085952353842183,-0.224283305227656,2025-12-24 05:02:39,0.004691,22.90257314552522,86.02515103177295
1660,673,180,416,203,762,2605,3373,-0.312038391828537,-0.30052080750465393,2.4665676077265974,1.1277777777777778,-0.5992292761802673,0.0010019576104663111,0.42306043720531505,0.886465311050415,1.214889645576477,0.0001892963916255831,-0.7804169965690155,2025-12-25 04:32:11,16.472563,24.354262622678792,93.11271572200569
1835,1246,1044,1220,1162,1472,1676,1894,0.009941027499735355,0.0035631940700113773,1.4727126805778492,1.1130268199233717,-0.20130932331085205,0.00015338431486601313,0.19117169750081142,0.23952879011631012,1.4270610809326172,0.000233695286779751,-0.21644187540141296,2025-12-24 05:03:11,0.95715,20.83519106384085,85.03899909536129
