B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,actual_date,days_diff,lat,lon,target_date
499.0,443.0,611.0,968.0,804.0,769.0,270.0,201.0,0.23215129971504211,0.209061399102211,1.1264108352144468,0.31970006227493286,0.00022976330071161003,0.059447983014861996,-0.6000000238418579,1.522955060005188,0.000650756773611051,0.6561163387510693,2023-05-30,0.0007835603356481481,25.76380799,84.65214402,2023-05-31
413.0,359.0,578.0,1037.0,720.0,645.0,163.0,110.0,0.2443712204694748,0.22381463646888733,1.15041782729805,0.430344820022583,5.0500349740954955e-05,0.06994818652849741,-0.7349397540092468,1.7351264953613281,0.0005384464608439998,0.8081952920662598,2023-05-30,0.0007835603356481481,25.81360697,84.59808804,2023-05-31
586.0,515.0,1034.0,1428.0,1044.0,1058.0,625.0,528.0,0.02130325883626938,0.021559737622737885,1.137864077669903,0.41807347536087036,0.0001972775289166901,0.06448683015440508,-0.32824426889419556,1.522955060005188,0.00075070330510744,0.4601226993865031,2023-05-30,0.0007835603356481481,25.87584402,84.43231696,2023-05-31
448.0,411.0,624.0,938.0,753.0,706.0,199.0,163.0,0.20824949443340302,0.22086964547634125,1.0900243309002433,0.35353535413742065,0.0002898378631486725,0.04307334109429569,-0.6441047787666321,2.043191909790039,0.004745465132811451,0.703905540417802,2023-05-30,0.0007835603356481481,25.80329496,84.61156203,2023-05-31
833.0,817.0,402.0,485.0,281.0,512.0,121.0,28.0,0.44300517439842224,0.3706361651420593,1.0195838433292534,-0.2640364170074463,0.015168813428246691,0.009696969696969697,-0.8187702298164368,1.5810937881469727,0.14747541835335948,0.8908382066276803,2023-06-07,0.0007765064351851852,25.4532467,80.3083007,2023-06-08
1942.0,1486.0,235.0,494.0,556.0,1419.0,1366.0,932.0,0.36316508054733276,0.19294418394565582,1.306864064602961,-0.5944170951843262,0.009637405472577286,0.13302217036172695,0.2526881694793701,1.831020474433899,0.0016083547353545275,-0.3071528751753156,2023-06-18,0.022797085069444445,23.642106,86.898646,2023-07-11
3320.0,3482.0,2004.0,2330.0,2512.0,2748.0,2660.0,2646.0,0.11276473850011826,0.10988140851259232,0.9534750143595635,-0.17522123456001282,0.00028935519729872405,-0.02381652455160247,0.025979062542319298,0.6365141868591309,3.241773016814533e-05,-0.0635048231511254,2023-10-11,0.00476326525462963,29.451804,77.140333,2023-10-16
1891.0,1422.0,848.0,1094.0,1456.0,1254.0,1576.0,2212.0,0.044794756919145584,0.11182095110416412,1.329817158931083,-0.2670016884803772,0.004111518966664483,0.14156353757923332,0.20610687136650085,2.043191909790039,0.00397144081713975,-0.33817301875378103,2023-10-21,0.0007606280208333333,15.721386,73.73331,2023-10-22
1111.0,830.0,664.0,824.0,915.0,1039.0,1187.0,1166.0,0.05082987621426582,0.01723598875105381,1.3385542168674698,-0.14832040667533875,0.0019021963495120407,0.14477073673364246,0.12061508744955063,2.043191909790039,0.004498679458404607,-0.17185929648241205,2023-12-09,0.0017760794097222221,23.006909,79.924278,2023-12-11
2915.0,2732.0,1200.0,1616.0,2032.0,2369.0,2445.0,2468.0,0.1484619826078415,0.14136384427547455,1.0669838945827232,-0.28669166564941406,0.00013269738298617007,0.032406587568620505,0.09688889235258102,1.214889645576477,5.00892385829251e-05,-0.20861900097943192,2023-12-17,0.0007690771180555556,23.015669,78.554122,2023-12-18
