B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon,id,dist_to_infra_km
1636.0,912.0,444.0,586.0,528.0,990.0,1755.0,2152.0,-0.0907563045620918,-0.0978496149182319,1.793859649122807,1.1891891891891893,-0.4725472629070282,0.0003481844008217,0.2841444270015698,0.6059701442718506,1.889159202575684,0.0004816219126308,-0.5719503287070855,2026-01-06 05:01:46,0.161675,24.869858640848957,86.62005127122487,6596,0.8723847436061511
1900.0,1187.0,794.0,910.0,856.0,1331.0,1946.0,2348.0,-0.0654459148645401,-0.079213447868824,1.6006739679865207,1.0780856423173804,-0.3523131608963012,0.0012731357779404,0.2309685779073534,0.4656679034233093,1.6769877672195437,0.0009581546013781,-0.4413750767341927,2026-01-06 05:01:46,0.161675,24.869858640848957,86.62903442406606,6597,1.2013532422049966
217.0,146.0,922.0,1062.0,791.0,642.0,466.0,428.0,-0.1450381726026535,-0.1485971063375473,1.4863013698630136,0.8579175704989154,0.6606724262237549,4.34309402497964e-05,0.1955922865013774,-0.297785073518753,1.4270610809326172,0.0001351712614515,0.425503355704698,2026-01-06 05:01:46,0.161675,24.869858640848957,86.63801757690726,6598,1.552735184477973
218.0,137.0,906.0,1116.0,810.0,704.0,507.0,444.0,-0.1354079097509384,-0.1595696359872818,1.5912408759124088,0.8940397350993378,0.6731634140014648,1.4134792577576624e-05,0.228169014084507,-0.2918660342693329,1.6769877672195437,0.0004194235038556,0.4307692307692308,2026-01-06 05:01:46,0.161675,24.869858640848957,86.64700072974846,6599,1.3457992925600393
242.0,151.0,853.0,1048.0,735.0,645.0,410.0,402.0,-0.1245519742369651,-0.1416875123977661,1.6026490066225163,0.861664712778429,0.6248062252998352,0.0001689111384238,0.2315521628498727,-0.2928759753704071,1.5810937881469729,0.0001755365706818,0.4455172413793103,2026-01-06 05:01:46,0.161675,24.869858640848957,86.65598388258965,6600,1.1823674565881293
2267.0,1585.0,715.0,910.0,956.0,1242.0,1913.0,2244.0,0.042704626917839,0.0084917768836021,1.4302839116719244,1.337062937062937,-0.4271325170993805,0.0003433890755471,0.1770508826583593,0.4025000035762787,1.889159202575684,0.0014829996558791,-0.4229549778059607,2026-01-06 05:01:46,0.161675,24.869858640848957,86.66496703543083,6601,0.24711349048353284
2535.0,1931.0,750.0,867.0,1046.0,1342.0,1718.0,2082.0,0.1167940124869346,0.0949677005410194,1.31279129984464,1.3946666666666667,-0.4902998208999634,0.0006614387386636,0.135244066278549,0.3312020599842071,1.6769877672195437,0.0002022706123915,-0.4120040691759918,2026-01-06 05:01:46,0.161675,24.869858640848957,86.67395018827203,6602,0.013441201911044882
2276.0,1667.0,1002.0,1206.0,1142.0,1597.0,2317.0,2832.0,-0.0573634877800941,0.0138198714703321,1.3653269346130774,1.1397205588822354,-0.3072946667671203,0.0021654143843057,0.1544509256910981,0.4252642095088959,2.1972246170043945,0.0055282143217334,-0.4026745913818722,2026-01-06 05:01:46,0.161675,24.869858640848957,86.78174802236637,6603,0.009504365018597418
2224.0,1871.0,449.0,828.0,1158.0,1417.0,1659.0,1864.0,0.1877085119485855,0.1608885526657104,1.1886691608765363,2.579064587973274,-0.4574049711227417,0.0005119958151727,0.0862026862026862,0.2336201220750808,1.6769877672195437,0.000701034063724,-0.3848439821693908,2026-01-06 05:12:12,4.195954,24.86087548800776,84.1317179342138,6604,0.06085979132258918
2791.0,1914.0,335.0,736.0,1022.0,1421.0,1934.0,2380.0,0.1681985259056091,0.1648291498422622,1.4582027168234064,3.0507462686567166,-0.5826481580734253,0.0003197372767974,0.1863974495217853,0.3991769552230835,1.889159202575684,0.0003543133099594,-0.527599486521181,2026-01-06 05:12:12,4.195954,24.86087548800776,84.16765054557857,6605,1.6284415520171986
2402.0,1630.0,797.0,893.0,946.0,1380.0,1833.0,2146.0,0.0643776804208755,0.0406953766942024,1.4736196319018404,1.1869510664993723,-0.4579666256904602,0.0004673019392525,0.1914682539682539,0.3880983293056488,1.735126495361328,0.0003429875578072,-0.4123066798288911,2026-01-06 05:01:46,0.161675,24.86087548800776,86.43140506155976,6606,0.3227402894725921
2109.0,1433.0,925.0,1052.0,1072.0,1379.0,1902.0,2268.0,-0.0018826482119038,-0.0031209015287458,1.4717376133984648,1.1589189189189189,-0.3343878388404846,0.0001417636130113,0.1908526256352343,0.3580838441848755,1.831020474433899,0.0014224368866689,-0.3662650602409638,2026-01-06 05:01:46,0.161675,24.86087548800776,86.44038821440095,6607,0.03918889258920395
3275.0,2651.0,1126.0,1270.0,1472.0,1825.0,2223.0,2692.0,0.1084646806120872,0.1151159256696701,1.2353828743870237,1.3072824156305507,-0.4411441087722778,8.236520642314183e-05,0.1052986837664529,0.2929875254631042,1.522955060005188,0.0002344908340635,-0.358909641595154,2026-01-06 05:01:46,0.161675,24.86087548800776,86.44937136724215,6608,0.11084292678806941
2524.0,1692.0,1144.0,1258.0,1358.0,1589.0,2206.0,2526.0,0.0280720330774784,0.0109492056071758,1.491725768321513,1.187062937062937,-0.3347435295581817,0.0003862668878507,0.1973434535104364,0.3007209002971649,1.735126495361328,0.000892112693388,-0.3350951374207188,2026-01-06 05:01:46,0.161675,24.86087548800776,86.45835452008335,6609,0.20407461847421277
2007.0,1221.0,858.0,897.0,885.0,1319.0,2010.0,2382.0,-0.0567514672875404,-0.057493008673191,1.6437346437346438,1.0314685314685317,-0.3822314143180847,0.0001922405973381,0.2434944237918215,0.4582185447216034,1.6769877672195437,0.0004670331329529,-0.4528819762122598,2026-01-06 05:01:46,0.161675,24.86087548800776,86.5481860484953,6610,0.3773259178304633
1992.0,1289.0,890.0,1014.0,1090.0,1397.0,1861.0,2298.0,-0.0169059019535779,0.0185876060277223,1.5453840186190846,1.2247191011235956,-0.3253493010997772,0.004014853199084,0.2142639439195367,0.3565525412559509,1.5810937881469729,0.0004126610030003,-0.3876811594202898,2026-01-06 05:01:46,0.161675,24.86087548800776,86.55716920133649,6611,0.40470394009575483
3453.0,2440.0,946.0,1090.0,1266.0,1765.0,2293.0,2648.0,0.1353302001953125,0.10413309186697,1.4151639344262297,1.3382663847780127,-0.5201408863067627,0.0008902343042133,0.1718988630578652,0.3530914783477783,1.889159202575684,0.0003589077547971,-0.4168004280363831,2026-01-06 05:01:46,0.161675,24.86087548800776,86.56615235417769,6612,0.31379916203364466
2351.0,1166.0,1210.0,1396.0,1248.0,1883.0,3052.0,3616.0,-0.1456379890441894,-0.1566221266984939,2.016295025728988,1.031404958677686,-0.2548705637454986,0.000478865808272,0.3369348876883707,0.4868420958518982,1.6769877672195437,0.0002145873057659,-0.4429369513168396,2026-01-06 05:01:46,0.161675,24.86087548800776,86.57513550701889,6613,0.6939083844267796
